PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,family_size
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D,S,Mr,1
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,H,Q,Miss,1
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A,S,Mr,1
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,H,S,Miss,5
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,H,S,Mrs,7
27,0,3,"Emir, Mr. Farred Chehab",male,27.431818181818198,0,0,2631,7.225,H,C,Mr,1
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C,S,Mr,6
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,27.431818181818198,0,0,330959,7.8792,H,Q,Miss,1
30,0,3,"Todoroff, Mr. Lalio",male,27.431818181818198,0,0,349216,7.8958,H,S,Mr,1
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,H,C,Mr,1
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,41.6399095022624,1,0,PC 17569,146.5208,B,C,Mrs,2
33,1,3,"Glynn, Miss. Mary Agatha",female,27.431818181818198,0,0,335677,7.75,H,Q,Miss,1
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,H,S,Mr,1
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,H,C,Mr,2
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,H,S,Mr,2
37,1,3,"Mamee, Mr. Hanna",male,27.431818181818198,0,0,2677,7.2292,H,C,Mr,1
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,H,S,Mr,1
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,H,S,Miss,3
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,H,C,Miss,2
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,H,S,Mrs,2
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,H,S,Mrs,2
43,0,3,"Kraeff, Mr. Theodor",male,27.431818181818198,0,0,349253,7.8958,H,C,Mr,1
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,H,C,Miss,4
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,H,Q,Miss,1
46,0,3,"Rogers, Mr. William John",male,27.431818181818198,0,0,S.C./A.4. 23567,8.05,H,S,Mr,1
47,0,3,"Lennon, Mr. Denis",male,27.431818181818198,1,0,370371,15.5,H,Q,Mr,2
48,1,3,"O'Driscoll, Miss. Bridget",female,27.431818181818198,0,0,14311,7.75,H,Q,Miss,1
49,0,3,"Samaan, Mr. Youssef",male,27.431818181818198,2,0,2662,21.6792,H,C,Mr,3
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,H,S,Mrs,2
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,H,S,Mr,6
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,H,S,Mr,1
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D,C,Mrs,2
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,H,S,Mrs,2
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B,C,Mr,2
56,1,1,"Woolner, Mr. Hugh",male,41.6399095022624,0,0,19947,35.5,C,S,Mr,1
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,H,S,Miss,1
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,H,C,Mr,1
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,H,S,Miss,4
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,H,S,Mr,8
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,H,C,Mr,1
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,B,S,Miss,1
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C,S,Mr,2
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,H,S,Mr,6
65,0,1,"Stewart, Mr. Albert A",male,41.6399095022624,0,0,PC 17605,27.7208,H,C,Mr,1
66,1,3,"Moubarek, Master. Gerios",male,21.035999999999998,1,1,2661,15.2458,H,C,Mr,3
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F,S,Mrs,1
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,H,S,Mr,1
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,H,S,Miss,7
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,H,S,Mr,3
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,H,S,Mr,1
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,H,S,Miss,8
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,H,S,Mr,1
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,H,C,Mr,2
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,H,S,Mr,1
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F,S,Mr,1
77,0,3,"Staneff, Mr. Ivan",male,27.431818181818198,0,0,349208,7.8958,H,S,Mr,1
78,0,3,"Moutal, Mr. Rahamin Haim",male,27.431818181818198,0,0,374746,8.05,H,S,Mr,1
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,H,S,Mr,3
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,H,S,Miss,1
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,H,S,Mr,1
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,H,S,Mr,1
83,1,3,"McDermott, Miss. Brigdet Delia",female,27.431818181818198,0,0,330932,7.7875,H,Q,Miss,1
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,H,S,Mr,1
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,H,S,Miss,1
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,H,S,Mrs,4
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,H,S,Mr,5
88,0,3,"Slocovski, Mr. Selman Francis",male,27.431818181818198,0,0,SOTON/OQ 392086,8.05,H,S,Mr,1
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C,S,Miss,6
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,343275,8.05,H,S,Mr,1
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,343276,8.05,H,S,Mr,1
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,347466,7.8542,H,S,Mr,1
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E,S,Mr,2
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,C.A. 2315,20.575,H,S,Mr,4
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,364500,7.25,H,S,Mr,1
96,0,3,"Shorney, Mr. Charles Joseph",male,27.431818181818198,0,0,374910,8.05,H,S,Mr,1
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,PC 17754,34.6542,A,C,Mr,1
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D,C,Mr,2
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,231919,23.0,H,S,Mrs,2
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,244367,26.0,H,S,Mr,2
101,0,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,H,S,Miss,1
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,27.431818181818198,0,0,349215,7.8958,H,S,Mr,1
103,0,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D,S,Mr,2
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0,0,7540,8.6542,H,S,Mr,1
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,H,S,Mr,3
106,0,3,"Mionoff, Mr. Stoytcho",male,28.0,0,0,349207,7.8958,H,S,Mr,1
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0,0,343120,7.65,H,S,Miss,1
108,1,3,"Moss, Mr. Albert Johan",male,27.431818181818198,0,0,312991,7.775,H,S,Mr,1
109,0,3,"Rekic, Mr. Tido",male,38.0,0,0,349249,7.8958,H,S,Mr,1
110,1,3,"Moran, Miss. Bertha",female,27.431818181818198,1,0,371110,24.15,H,Q,Miss,2
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C,S,Mr,1
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,H,C,Miss,2
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,H,S,Mr,1
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,H,S,Miss,2
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,H,C,Miss,1
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,H,S,Mr,1
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,H,Q,Mr,1
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,H,S,Mr,2
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B,C,Mr,2
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,H,S,Miss,7
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,H,S,Mr,3
122,0,3,"Moore, Mr. Leonard Charles",male,27.431818181818198,0,0,A4. 54510,8.05,H,S,Mr,1
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,H,C,Mr,2
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E,S,Miss,1
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D,S,Mr,2
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,H,C,Mr,2
127,0,3,"McMahon, Mr. Martin",male,27.431818181818198,0,0,370372,7.75,H,Q,Mr,1
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,H,S,Mr,1
129,1,3,"Peter, Miss. Anna",female,9.08052631578947,1,1,2668,22.3583,F,C,Miss,3
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,H,S,Mr,1
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,H,C,Mr,1
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,H,S,Mr,1
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,H,S,Mrs,2
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,H,S,Mrs,2
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,H,S,Mr,1
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,H,C,Mr,1
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D,S,Miss,3
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C,S,Mr,2
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,H,S,Mr,1
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B,C,Mr,1
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,32.9811320754717,0,2,2678,15.2458,H,C,Mrs,3
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,H,S,Miss,1
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,H,S,Mrs,2
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,H,Q,Mr,1
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,H,S,Mr,1
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,H,S,Mr,3
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,H,S,Mr,1
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,H,S,Miss,5
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F,S,Mr,3
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,H,S,Mr,1
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,H,S,Mr,1
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C,S,Mrs,2
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,H,S,Mr,1
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,H,S,Mr,3
155,0,3,"Olsen, Mr. Ole Martin",male,27.431818181818198,0,0,Fa 265302,7.3125,H,S,Mr,1
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,H,C,Mr,2
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,H,Q,Miss,1
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,H,S,Mr,1
159,0,3,"Smiljanic, Mr. Mile",male,27.431818181818198,0,0,315037,8.6625,H,S,Mr,1
160,0,3,"Sage, Master. Thomas Henry",male,8.839285714285712,8,2,CA. 2343,69.55,H,S,Mr,11
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,H,S,Mr,2
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,H,S,Mrs,1
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,H,S,Mr,1
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,H,S,Mr,1
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,H,S,Mr,6
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,H,S,Mr,3
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,41.6399095022624,0,1,113505,55.0,E,S,Mrs,2
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,H,S,Mrs,6
169,0,1,"Baumann, Mr. John D",male,41.6399095022624,0,0,PC 17318,25.925,H,S,Mr,1
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,H,S,Mr,1
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B,S,Mr,1
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,H,Q,Mr,6
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,H,S,Miss,3
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,H,S,Mr,1
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A,C,Mr,1
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,H,S,Mr,3
177,0,3,"Lefebre, Master. Henry Forbes",male,8.839285714285712,3,1,4133,25.4667,H,S,Mr,5
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C,C,Miss,1
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,H,S,Mr,1
180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,H,S,Mr,1
181,0,3,"Sage, Miss. Constance Gladys",female,9.08052631578947,8,2,CA. 2343,69.55,H,S,Miss,11
182,0,2,"Pernot, Mr. Rene",male,32.102631578947395,0,0,SC/PARIS 2131,15.05,H,C,Mr,1
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,H,S,Mr,7
184,1,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F,S,Mr,4
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,H,S,Miss,3
186,0,1,"Rood, Mr. Hugh Roscoe",male,41.6399095022624,0,0,113767,50.0,A,S,Mr,1
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,27.431818181818198,1,0,370365,15.5,H,Q,Mrs,2
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,H,S,Mr,1
189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,H,Q,Mr,3
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,H,S,Mr,1
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,H,S,Mrs,1
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,H,S,Mr,1
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,H,S,Miss,2
194,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F,S,Mr,3
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B,C,Mrs,1
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B,C,Miss,1
197,0,3,"Mernagh, Mr. Robert",male,27.431818181818198,0,0,368703,7.75,H,Q,Mr,1
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,H,S,Mr,2
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,27.431818181818198,0,0,370370,7.75,H,Q,Miss,1
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,13.0,H,S,Miss,1
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,H,S,Mr,1
202,0,3,"Sage, Mr. Frederick",male,8.839285714285712,8,2,CA. 2343,69.55,H,S,Mr,11
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,H,S,Mr,1
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,H,C,Mr,1
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,H,S,Mr,1
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G,S,Miss,2
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,H,S,Mr,2
208,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,H,C,Mr,1
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,H,Q,Miss,1
210,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A,C,Mr,1
211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,H,S,Mr,1
212,1,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,21.0,H,S,Miss,1
213,0,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,7.25,H,S,Mr,1
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,H,S,Mr,1
215,0,3,"Kiernan, Mr. Philip",male,27.431818181818198,1,0,367229,7.75,H,Q,Mr,2
216,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D,C,Miss,2
217,1,3,"Honkanen, Miss. Eliina",female,27.0,0,0,STON/O2. 3101283,7.925,H,S,Miss,1
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,27.0,H,S,Mr,2
219,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D,C,Miss,1
220,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,H,S,Mr,1
221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,H,S,Mr,1
222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,H,S,Mr,1
223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,H,S,Mr,1
224,0,3,"Nenkoff, Mr. Christo",male,27.431818181818198,0,0,349234,7.8958,H,S,Mr,1
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,C,S,Mr,2
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,H,S,Mr,1
227,1,2,"Mellors, Mr. William John",male,19.0,0,0,SW/PP 751,10.5,H,S,Mr,1
228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,H,S,Mr,1
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.0,0,0,236171,13.0,H,S,Mr,1
230,0,3,"Lefebre, Miss. Mathilde",female,9.08052631578947,3,1,4133,25.4667,H,S,Miss,5
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,1,0,36973,83.475,C,S,Mrs,2
232,0,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,H,S,Mr,1
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.0,0,0,237442,13.5,H,S,Mr,1
234,1,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077,31.3875,H,S,Miss,7
235,0,2,"Leyson, Mr. Robert William Norman",male,24.0,0,0,C.A. 29566,10.5,H,S,Mr,1
236,0,3,"Harknett, Miss. Alice Phoebe",female,27.431818181818198,0,0,W./C. 6609,7.55,H,S,Miss,1
237,0,2,"Hold, Mr. Stephen",male,44.0,1,0,26707,26.0,H,S,Mr,2
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,0,2,C.A. 31921,26.25,H,S,Miss,3
239,0,2,"Pengelly, Mr. Frederick William",male,19.0,0,0,28665,10.5,H,S,Mr,1
240,0,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585,12.275,H,S,Mr,1
241,0,3,"Zabour, Miss. Thamine",female,27.431818181818198,1,0,2665,14.4542,H,C,Miss,2
242,1,3,"Murphy, Miss. Katherine ""Kate""",female,27.431818181818198,1,0,367230,15.5,H,Q,Miss,2
243,0,2,"Coleridge, Mr. Reginald Charles",male,29.0,0,0,W./C. 14263,10.5,H,S,Mr,1
244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275,7.125,H,S,Mr,1
245,0,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694,7.225,H,C,Mr,1
246,0,1,"Minahan, Dr. William Edward",male,44.0,2,0,19928,90.0,C,Q,Mr,3
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,H,S,Miss,1
248,1,2,"Hamalainen, Mrs. William (Anna)",female,24.0,0,2,250649,14.5,H,S,Mrs,3
249,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,D,S,Mr,3
250,0,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,H,S,Mr,2
251,0,3,"Reed, Mr. James George",male,27.431818181818198,0,0,362316,7.25,H,S,Mr,1
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,G,S,Mrs,3
253,0,1,"Stead, Mr. William Thomas",male,62.0,0,0,113514,26.55,C,S,Mr,1
